Name,Country,Address,Latitude,Longitude
Meta Prometheus,United States,"1 Community Cir, New Albany, OH 43054",40.068432646835,-82.750334992422900
Microsoft Fairwater Atlanta,United States,"1435 Hwy 54 W, Fayetteville, GA 30214",33.446868805836,-84.521590664235300
Anthropic-Amazon New Carlisle,United States,"55001 Larrison Blvd, New Carlisle, IN 46552",41.689284011577,-86.460599939553400
Colossus 2,United States,"5420 Tulane Rd, Memphis, TN 38109",34.995862341018,-90.034872363337700
OpenAI Stargate Abilene,United States,"5502 Spinks Rd, Abilene, TX 79601",32.494286565340,-99.793150843956100
QTS Richmond,United States,"6000 Technology Blvd, Sandston, VA 23150",37.489664111049,-77.245412961228500
Microsoft Fairwater Wisconsin,United States,"4800 90th St, Mount Pleasant, WI 53403",42.675236604116,-87.894780491238000
Google Pryor (North),United States,"4581 Webb St, Pryor, OK 74361",36.240691093840,-95.330027963654200
DayOne Nusajaya,Malaysia,,1.434443554739,103.599657171164000
Colossus 1,United States,"3231 Riverport Rd, Memphis, TN 38109",35.069315374510,-90.096873085960500
Google Columbus,United States,"5076 S High St, Columbus, OH 43207",39.856689511732,-83.002308915836000
Amazon Madison Mega Site,United States,"Amazon Data Services Inc, Madison Mega Site Nissan Parkway and Highway 22 Canton, Mississippi Madison County",32.589101606323,-90.093154502144600
Google New Albany,United States,"1101 Beech Rd SW, New Albany, OH 43054",40.058510443223,-82.764326400479500
Microsoft Goodyear,United States,"14250 W Broadway Rd, Goodyear, AZ 85338",33.407839873530,-112.364792158997000
Meta Jeffersonville,United States,"500 8th St, Jeffersonville, IN 47130, USA",38.279002847555,-85.739335275225800
Meta Kuna,United States,"601 Kuna Mora Rd,  Kuna ID 83634",43.458827256065,-116.175289965458000
Meta Temple,United States,"2310 Eberhardt Rd, Temple, TX 76504",31.128053824011,-97.361346742772200
Amazon Ridgeland,United States,"1626 County Line Road Ridgeland, Mississippi",32.399539789032,-90.122322967259300
Microsoft Project Osmium,United States,"5855 SW Kerry St, Cumming, IA 50061",41.498716413741,-93.787578490463800
Google Omaha,United States,"11110 State St, Omaha, NE 68142",41.339360005846,-96.086074037517500
Alibaba Zhangbei,China,"Alibaba Zhangbei Yun Calculation Data Center, Zhangbei County, Zhangjiakou, Hebei, China, 076471",40.783410000000,114.871390000000000
CoreWeave Denton TX,United States,"8171 Jim Christal Rd, Denton, TX 76207",33.220646209893,-97.210903339975100
Google The Dalles,United States,"3500 River Rd, The Dalles, OR",45.624433744524,-121.207222659703000
Fluidstack Lake Mariner,United States,"7725 Lake Rd, Barker, NY 14012",43.358262336514,-78.603774299194900
Google Council Bluffs (East),United States,"10410 Bunge Ave, Council Bluffs, IA 51503",41.175987073768,-95.800695631560300
Google Papillion,United States,"14651-15249 Gold Coast Rd 68138 Papillion Nebraska, USA",41.134830839529,-96.144132463328600
Microsoft SAT40,United States,"15000 Lambda Drive, San Antonio, TX 78245",29.414004999871,-98.802941888013400
STACK Infrastructure NVA02,United States,"9590 Hornbaker Rd, Manassas, VA 20109",38.746311137800,-77.536262067750200
Google Midlothian,United States,"3250 Railport Parkway, Midlothian, TX 76065",32.449304726468,-97.056665537819600
Google Red Oak,United States,"330 Austin Blvd, Red Oak, TX 75154",32.539137039585,-96.793314719942100
Stream Phoenix,United States,2950 S. Litchfield Road,33.419882855924,", -112.35953531762222"
Microsoft SAT14,United States,"3545 Wiseman Boulevard, San Antonio, TX 78251",29.475873713138,-98.681193068009400
Vantage TX1,United States,"Goodyear, Arizona 85338",33.413440100000,-112.419493400000000
Start Campus Sines Data Campus,Portugal,"Start Campus - Sustainable Data Center Services, Sines, Portugal",37.924793809113,-8.777648417256410
Meta Hyperion,United States,"Holly Ridge, LA 71269",32.462161600000,-91.757084900000000
Goodnight,United States,"10001 Lima Rd, Claude, TX 79019",35.016034540758,-101.451713140608000
OpenAI Stargate UAE,United Arab Emirates,"Nexus L&T Project Office, Al Bihouth, Al Dhafrah, Abu Dhabi, United Arab Emirates",24.199296600000,54.465941000000000
Coreweave Helios,United States,"984 County Road 112, Afton, TX 79920",33.779658206636,-100.866852021248000
Google Cedar Rapids,United States,"5800 EDGEWOOD RD SW CEDAR RAPIDS, IA 52404",41.922687912324,-91.716508870812400
QTS Cedar Rapids,United States,"6200 76th Ave SW, Fairfax, IA 52228",41.906943052033,-91.754239840318600
OpenAI Stargate Shackelford,United States,"175 Private Road 1604, Abilene, TX 79601, Shackelford County",32.542638110965,-99.540758980893900
Google Fort Wayne,United States,"6015 Adams Center Road, Fort Wayne, IN 46806",41.031428413015,-85.045008475447600
Crusoe Abilene Expansion,United States,"5502 Spinks Rd, Abilene, TX 79601",32.494286565340,-99.793150843956100
OpenAI Stargate Lordstown,United States,"2300 Hallock Young Rd, Warren, OH 44481",41.147123906364,-80.878180507979400
Meta Rosemount,United States,"1772-2396 145th St, Rosemount, MN 55068, USA",44.738784848299,-93.053717379312800
